id,number,month,initial_amount,price,currency,client_code,authorized_withdrawal_person,document_url,is_archived,validated_at,granted_at,validated_by,granted_by,created_at,updated_at,created_by,updated_by
224098da-2c10-4943-8955-7ebd939b7bb1,CL03-09815-6595/2026,03/2026,10000.00,1000.00,1,CL03-09815-8854/2026,,,true,,2026-03-20 17:15:55+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-03-20 17:15:55+00,2026-05-07 17:33:38.46549+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,66f818af-5823-4500-a603-ac688a6a9732
235a2ae7-975f-443c-a59d-fb3ffb01f7df,CRT09-084A3-5417/2026,09/2026,30000.00,2000.00,1,CL08-084A3-3894/2026,,,false,,2026-09-01 14:03:38+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-09-01 14:03:38+00,2026-09-01 14:21:10.799039+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
23aa54ad-7c1e-4eae-ab64-eadc68ebd98d,CRT07-09690-9737/2026,07/2026,5000.00,2000.00,1,CL07-09690-8806/2026,,,false,,2026-07-11 11:48:12+00,,d3b61f5e-fb50-4b45-be9f-10c2d7139690,2026-07-11 11:48:12+00,2026-07-22 18:00:49.579617+00,d3b61f5e-fb50-4b45-be9f-10c2d7139690,
23b187a1-20a4-4eff-b60d-2d5c57b32612,CRT08-084A3-6394/2026,08/2026,10000.00,2000.00,1,CL08-084A3-7411/2026,,,false,,2026-08-17 16:13:57+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-17 16:13:57+00,2026-09-01 14:20:53.331753+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
23bfa0e3-9431-4029-9636-b733cbe7de43,CL03-09815-1678/2026,03/2026,5000.00,1000.00,1,CL03-09815-1678/2026,,,true,,2026-03-10 18:46:55+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-03-10 18:46:55+00,2026-05-07 17:33:33.461578+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,66f818af-5823-4500-a603-ac688a6a9732
23e44582-a5d3-4486-997c-034b6126f6e9,CRT06-084A3-9607/2026,06/2026,5000.00,2000.00,1,CL06-084A3-4974/2026,,,true,,2026-06-10 17:38:45+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-06-10 17:38:45+00,2026-08-21 08:35:11.441109+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
240ac049-31c5-4274-8b2d-29664fc5167c,CRT06-09815-9418/2026,06/2026,10000.00,2000.00,1,CL06-09815-5373/2026,,,true,,2026-06-06 14:39:50+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-06-06 14:39:50+00,2026-07-10 10:48:48.649989+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
24d8d2fd-285e-41f7-85d3-9a102a5a33d0,CRT09-084A3-1858/2026,09/2026,3000.00,2000.00,1,CL06-084A3-7042/2026,,,false,,2026-09-01 09:57:44+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-09-01 09:57:44+00,2026-09-01 14:21:09.435246+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
24d99f1f-d8da-490b-9a2b-68bfee1a5b80,CRT08-084A3-1862/2026,08/2026,20000.00,2000.00,1,CL06-084A3-3227/2026,,,false,,2026-08-22 16:31:20+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-22 16:31:20+00,2026-09-01 14:20:57.97821+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
253844d7-b3c2-4ae3-8600-ce4e53324ea9,CRT05-09815-2547/2026,05/2026,10000.00,2000.00,1,CL05-09815-3109/2026,,,true,,2026-05-20 15:51:24+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-20 15:51:24+00,2026-07-19 17:48:11.470967+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
